H,label
"[[3.43934628e-06,2.98965139e-06,2.57230977e-06,2.19688693e-06],
 [1.81432094e-06,1.63717571e-06,1.46321509e-06,1.29759393e-06],
 [5.22166319e-06,5.36835774e-06,5.36835774e-06,5.22166319e-06],
 [2.43522441e-06,2.48163622e-06,2.48163622e-06,2.43522441e-06],
 [2.19688693e-06,2.57230977e-06,2.98965139e-06,3.43934628e-06],
 [1.29759393e-06,1.46321509e-06,1.63717571e-06,1.81432094e-06]]","[[ 0.23748504,-0.00698946, 0.0141957 , 0.05851592],
 [ 0.06157661,-0.02712369, 0.03066856, 0.19235809],
 [-0.02314407,-0.00454964, 0.02955456,-0.0359109 ],
 [-0.05517059, 0.08920446, 0.0126867 ,-0.01147559],
 [ 0.07657389, 0.08497203,-0.07611322, 0.03421435],
 [ 0.03941976, 0.01451636,-0.03432521, 0.05898569]]"
"[[2.43027257e-06,2.47534685e-06,2.23682221e-06,2.32072145e-06],
 [2.55508425e-06,2.49005429e-06,0.00000000e+00,2.49617659e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.32424609e-06,2.40509685e-06,2.18869450e-06,2.21482463e-06],
 [2.54150748e-06,2.41161709e-06,2.54801536e-06,2.49649013e-06],
 [0.00000000e+00,0.00000000e+00,2.57506128e-06,0.00000000e+00]]","[[ 0.06532082,-0.03658397, 0.05640314, 0.02659536],
 [ 0.09178704, 0.09849564, 0.10415469, 0.09935249],
 [ 0.01991887, 0.        , 0.0201644 ,-0.01049187],
 [ 0.05115917, 0.        , 0.04331898,-0.00942585],
 [ 0.09569918, 0.        , 0.08265115, 0.48025902],
 [ 0.06539171, 0.        , 0.03608331,-0.00855925]]"
"[[2.68047951e-06,2.52835866e-06,2.64927783e-06,2.60497716e-06],
 [2.95308817e-06,2.67619164e-06,2.80933066e-06,2.87991663e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.54852141e-06,2.44090793e-06,2.52352659e-06,2.54523207e-06],
 [2.88938215e-06,2.58910966e-06,2.76383729e-06,2.67524109e-06],
 [3.05728296e-06,0.00000000e+00,2.93187130e-06,2.91810489e-06]]","[[ 0.01106561, 0.01624157,-0.00820626, 0.04808009],
 [ 0.07033676, 0.06851744, 0.06838725, 0.00184796],
 [ 0.05800782, 0.        , 0.04071973, 0.10527492],
 [ 0.0327082 , 0.        , 0.06046762,-0.19228254],
 [ 0.0440665 , 0.        , 0.09326734, 0.09051904],
 [ 0.06645899, 0.        , 0.061428  , 0.08766677]]"
"[[2.60773679e-06,2.43200777e-06,2.57542524e-06,2.38565792e-06],
 [2.83799889e-06,2.42675942e-06,2.82762241e-06,2.70962626e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.52673824e-06,2.32504244e-06,2.45178899e-06,2.28774428e-06],
 [2.69080273e-06,2.44822454e-06,2.78583870e-06,2.66712479e-06],
 [2.89667874e-06,0.00000000e+00,2.90372872e-06,2.71051857e-06]]","[[ 0.0605846 , 0.03732407, 0.08410643, 0.05541301],
 [ 0.07804007, 0.06329358, 0.07058465, 0.0817668 ],
 [ 0.03659028, 0.        , 0.02350454, 0.10099793],
 [ 0.00948849, 0.        , 0.00810721,-0.1885258 ],
 [ 0.03579708, 0.        ,-0.02416014, 0.09770594],
 [ 0.05379858, 0.        , 0.06377066, 0.08187053]]"
"[[2.83210028e-06,2.22409577e-06,2.93643502e-06,2.27760807e-06],
 [2.64988324e-06,2.40482736e-06,3.09361775e-06,2.37691349e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.73753806e-06,2.17073466e-06,2.87570818e-06,2.21054869e-06],
 [2.55237754e-06,2.35154469e-06,2.75169158e-06,2.33385712e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.16007162, 0.12554028, 0.1341242 , 0.02467192],
 [ 0.02577277, 0.07198459, 0.02871585, 0.11992134],
 [ 0.06613446, 0.        , 0.07541446, 0.        ],
 [ 0.04750445, 0.        , 0.04611031, 0.        ],
 [-0.01064196, 0.        , 0.00303044, 0.        ],
 [ 0.087015  , 0.        , 0.14005689, 0.        ]]"
"[[2.75193602e-06,2.73370001e-06,2.63049175e-06,2.40708266e-06],
 [2.78962376e-06,2.78170653e-06,2.52369296e-06,2.61794192e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.65550482e-06,2.58695366e-06,2.55396216e-06,2.26321528e-06],
 [2.66066440e-06,2.78003247e-06,2.44238589e-06,2.66316235e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.69123482e-06]]","[[ 0.06731996, 0.04721836, 0.07002254, 0.03986291],
 [ 0.05563776, 0.01325966, 0.04165419, 0.01659844],
 [ 0.08865291, 0.        , 0.09965523,-0.01450731],
 [ 0.00692131, 0.        , 0.00535824,-0.0123001 ],
 [ 0.08910128, 0.        , 0.05573066,-0.01167589],
 [ 0.07376326, 0.        , 0.10610113, 0.50540982]]"
"[[2.57608128e-06,2.42419727e-06,2.45120390e-06,2.30375883e-06],
 [2.73999071e-06,2.37690631e-06,2.60421616e-06,2.42219765e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.47510512e-06,2.38905264e-06,2.36209630e-06,2.25179414e-06],
 [2.66329443e-06,2.24345127e-06,2.54576045e-06,2.34026689e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.05161857,0.09060018,0.02904504,0.1071748 ],
 [0.11278539,0.08451014,0.15413597,0.07711199],
 [0.05714302,0.        ,0.04309187,0.        ],
 [0.06660493,0.        ,0.06916789,0.        ],
 [0.10477919,0.        ,0.1130065 ,0.        ],
 [0.02352653,0.        ,0.00396412,0.        ]]"
"[[2.53906937e-06,2.37609115e-06,2.83570231e-06,2.81260414e-06],
 [2.63608471e-06,2.48423251e-06,2.83840538e-06,2.79173183e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.44364849e-06,2.29907528e-06,2.71299132e-06,2.70340236e-06],
 [2.57337332e-06,2.43155350e-06,2.74852477e-06,2.68488139e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.04770947,0.06595224,0.05033748,0.05730147],
 [0.0486564 ,0.05678319,0.05601898,0.04094055],
 [0.10356292,0.        ,0.08748556,0.        ],
 [0.11089983,0.        ,0.10474683,0.        ],
 [0.10035995,0.        ,0.11119791,0.        ],
 [0.09471977,0.        ,0.10725106,0.        ]]"
"[[2.58816658e-06,2.37584873e-06,2.67082027e-06,2.87722758e-06],
 [2.57759432e-06,2.36719764e-06,2.97845354e-06,3.12244833e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.45907753e-06,2.34220014e-06,2.55552922e-06,2.71875748e-06],
 [2.60150344e-06,2.23494565e-06,2.87307705e-06,3.04772371e-06],
 [0.00000000e+00,0.00000000e+00,3.05566437e-06,3.32493638e-06]]","[[ 0.06035024, 0.03471514, 0.03603115, 0.02559921],
 [ 0.06225327, 0.02039409, 0.08313135, 0.02233533],
 [ 0.00437401, 0.        , 0.00638681,-0.1217966 ],
 [ 0.0137825 , 0.        , 0.00705575,-0.11086436],
 [ 0.03259922, 0.        , 0.08441067, 0.15032605],
 [ 0.04513791, 0.        , 0.01719745, 0.15937619]]"
"[[2.34576955e-06,2.26904895e-06,2.65624682e-06,2.33508590e-06],
 [2.34261819e-06,2.26459314e-06,2.76439158e-06,2.54097732e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.27624549e-06,2.23329043e-06,2.54790243e-06,2.26979450e-06],
 [2.31064493e-06,2.17699179e-06,2.68665483e-06,2.46835909e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.10909037,0.09526678,0.09642273,0.08849399],
 [0.09358173,0.12618648,0.12571614,0.11331609],
 [0.06854672,0.        ,0.04778797,0.        ],
 [0.02590241,0.        ,0.02553224,0.        ],
 [0.03235543,0.        ,0.05992863,0.        ],
 [0.04486546,0.        ,0.03047488,0.        ]]"
